RoadID,Length,NumberOfBends,TrafficVolume,AccidentRisk
R001,37.6,7,4099,Moderate
R002,2.7,18,3094,Moderate
R003,44.9,4,2606,High
R004,43.1,2,4765,High
R005,23.4,14,3709,Low
R006,20.2,13,3653,Low
R007,14.4,12,1553,Moderate
R008,24.4,7,4933,High
R009,3.2,2,3456,Moderate
R010,42.8,13,615,High
R011,2.7,14,138,Low
R012,17.1,17,3442,Moderate
R013,46.6,9,986,Moderate
R014,37.0,17,2944,High
R015,14.8,8,2304,Low
R016,13.4,2,1198,Moderate
R017,1.2,13,1923,Low
R018,35.1,3,3301,Moderate
R019,3.4,16,3255,Low
R020,27.1,6,3193,High
R021,48.1,19,3630,Moderate
R022,6.4,7,3878,Moderate
R023,44.8,10,2996,Low
R024,49.6,9,3553,Low
R025,4.0,2,3611,Moderate
R026,44.3,15,1088,High
R027,26.3,5,4216,Low
R028,45.4,4,4126,Low
R029,29.0,4,4279,Low
R030,33.4,18,1782,Moderate
R031,27.6,4,4765,Moderate
R032,43.4,17,4063,Moderate
R033,37.0,12,1033,Moderate
R034,26.5,17,3698,High
R035,43.5,10,3333,High
R036,13.0,1,2080,Moderate
R037,8.7,18,1955,High
R038,8.9,18,3156,Low
R039,17.4,14,892,Low
R040,12.7,15,891,Low
R041,46.6,12,1909,Moderate
R042,6.2,4,2355,Low
R043,35.3,3,3710,High
R044,10.3,12,1707,Moderate
R045,44.2,7,1084,High
R046,48.1,11,3776,Low
R047,23.8,1,3480,Low
R048,44.1,6,619,Low
R049,1.3,15,690,Moderate
R050,41.2,15,1150,High
